track_id,cord_x,cord_y,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,cov_0,cov_1,cov_2,cov_3,cov_4,cov_5,cov_6,cov_7
5,1218.0,140.0,1813.0083150648309,190.32630753464267,6.8088572314611175,183.03326025932373,0.0914335013499899,0.8678335273555768,-2.63408576881118e-09,0.3657340053999962,0.0,0.0,0.0,0.0,0.0,402.50390625,0.0,0.0
5,1226.0,145.0,1813.8662158007205,197.32727792047092,6.78134503782952,188.6182192776578,0.2215663835120619,1.7859948051227803,-6.332653408353456e-08,1.3180980583378037,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
5,1239.0,161.0,1822.427341229692,220.26666863549903,6.36811025537884,206.4621562687816,0.4734360057923809,1.724087785812892,-3.522831659740413e-06,1.2481493609742669,0.0,0.0,0.0,267.76859504132176,0.0,0.0,0.0,1626.8615702479335
5,1237.0,162.0,1823.6860481173328,221.6829721758772,6.307494625036741,206.58736265663984,0.5098511071497018,1.514852133682472,-4.363699262683234e-06,1.0082954566065785,0.0,0.0,0.0,148.67136697955775,0.0,0.0,0.0,366.3960856894248
5,1230.0,147.0,1814.0268874418528,199.03469512463823,6.7617938392240005,191.36789966987925,0.2100129718479026,1.7710864676218316,-1.2451137355472905e-07,1.5897086997218677,0.0,0.0,0.0003731053367119,0.0,0.0,0.0,5.674752574892631e-10,0.0
5,1230.0,148.0,1816.549851594693,200.72037014662544,6.6818346241059325,192.70528653912623,0.4022551482820548,1.1152400446973387,-4.868963891460494e-07,0.9746324069128672,53.43657442869102,0.0,0.0,0.0,96.53947798874316,0.0,0.0,0.0
5,1240.0,160.0,1821.830147409486,218.99679067682695,6.403140513324722,206.00118579205255,0.4587402376296532,1.7780234693778685,-3.079028429581814e-06,1.3416238493554236,0.0,0.0,0.0,62.53762264383042,0.0,0.0,0.0,14.027692975935196
5,1238.0,162.0,1822.6375197144944,221.33996077653447,6.336152860842313,206.58686153074152,0.4454600333340358,1.654928732100505,-3.953661458418938e-06,1.1287626818990448,0.0,0.0,0.0004517349793713,0.0,0.0,0.0,9.237709748273711e-10,0.0
5,1214.0,138.0,1812.5,186.5,6.812154769897461,181.0,0.0,0.0,0.0,0.0,9.647234284089844,0.0,0.0,0.0,17.663221652557446,0.0,0.0,0.0
5,1217.0,140.0,1812.9338842975208,189.103305785124,6.810802113113047,182.73553719008265,0.1033057851239669,0.6198347107438015,-6.76328054043065e-10,0.4132231404958676,0.0,0.0,9.237709748273711e-10,0.0,0.0,0.0,4.999998675688673e-10,0.0
5,1223.0,144.0,1813.3903890778383,195.2130203250177,6.794678497175134,186.57453705803528,0.1480415196119773,1.691070535603024,-2.8919310674705863e-08,1.1082797404720544,0.0,0.0,0.0,20.84030971530565,0.0,0.0,0.0,8.773775887452182
5,1232.0,148.0,1814.756708482853,200.59748933013768,6.740153594327658,192.98648469444976,0.2959678140792716,1.7366435076309226,-2.044362955926258e-07,1.5944836543520229,76.25285965745377,0.0,0.0,0.0,142.03187788442457,0.0,0.0,0.0
5,1229.0,148.0,1817.3176290635768,200.61099848411465,6.664381476222586,192.5591753272658,0.4484932969186865,0.960328087345938,-5.937249841425027e-07,0.8328596420018772,320.7494158414081,0.0,0.0,0.0,45.95835263300148,0.0,0.0,0.0
5,1231.0,148.0,1816.2352445552208,200.8716709494824,6.700019524129456,192.9706752730368,0.4155089132841293,1.3067608314767791,-3.8712420876718713e-07,1.1621429992259666,15.329109923127923,0.0,0.0,0.0,2.3544960475653074,0.0,0.0,0.0
5,1232.0,148.0,1815.3544378327024,201.0968392668345,6.718725382706028,193.51445782484075,0.3409129951180558,1.5523576495882696,-2.960092869493831e-07,1.4356346862196674,896.3237645263357,0.0,0.0,0.0,118.41116312096165,0.0,0.0,0.0
5,1220.0,142.0,1813.023802580424,192.94976258888687,6.803686481886656,184.61795874134475,0.0652034279487039,1.4741865960020175,-1.0498542968111316e-08,0.786737530163127,0.0,118.41116312096187,0.0,0.0,0.0,222.38164362780603,0.0,0.0
5,1230.0,149.0,1817.9217690417047,201.856610776552,6.642732150366527,193.7966385881736,0.4676129825967414,0.9953724859023312,-7.403850059452213e-07,0.8825612736563663,70.48691755422027,0.0,0.0,0.0,7.4816366583547165,0.0,0.0,0.0
5,1234.0,151.0,1819.12507683034,204.6060807133704,6.614521319096066,196.21654271496573,0.5553053316755865,1.204455008602762,-9.50472228264088e-07,1.0658073765574545,0.0,0.0,0.0,7.852057453636817,0.0,0.0,0.0,14.171919352493616
5,1236.0,153.0,1820.2206818321492,207.5834554839788,6.582662243061433,198.4146408201362,0.6176452975744038,1.4090151140666616,-1.2097687205344622e-06,1.1964514789159582,72.164700247854,0.0,0.0,0.0,136.01600222186752,0.0,0.0,0.0
5,1238.0,155.0,1821.6024360761564,210.31295523318647,6.549862736407862,199.86690257166367,0.7034062856608485,1.557221816254077,-1.500029965182496e-06,1.2251627534590117,47.65825098033236,0.0,0.0,0.0,9.752396893166631,0.0,0.0,0.0
5,1238.0,156.0,1821.7759436617296,212.28433046033123,6.516321991350079,201.0315258220918,0.6450145401483283,1.6028591061132,-1.821309507266403e-06,1.218491653390546,79.53301021010614,0.0,0.0,0.0,9.347846754623887,0.0,0.0,0.0
5,1239.0,158.0,1822.144228123831,214.94742109337915,6.480371592722533,202.7430420124025,0.6148688571289258,1.7183557798529032,-2.192534745867364e-06,1.2721994451697278,17.15052611417343,0.0,0.0,0.0,32.75769087173298,0.0,0.0,0.0
