_id_x,track_id,start_time,end_time,_id_y,conf,cord_x,cord_y,hits,age,time_since_update,state,time,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,cov_0,cov_1,cov_2,cov_3,cov_4,cov_5,cov_6,cov_7
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458a0f'},0.6957359313964844,1218.0,140.0,3.0,3.0,0.0,2.0,1715902828.090756,1813.0083150648309,190.32630753464267,6.8088572314611175,183.03326025932375,0.09143350134998997,0.8678335273555768,-2.6340857688111805e-09,0.3657340053999962,0.0,0.0,0.0,0.0,0.0,402.50390625,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458a1f'},0.6257944107055664,1226.0,145.0,6.0,6.0,0.0,2.0,1715902829.773911,1813.8662158007203,197.32727792047095,6.78134503782952,188.6182192776578,0.22156638351206193,1.7859948051227803,-6.332653408353455e-08,1.3180980583378035,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458a35'},0.6529509425163269,1239.0,161.0,21.0,21.0,0.0,2.0,1715902839.639598,1822.4273412296918,220.26666863549903,6.36811025537884,206.46215626878157,0.47343600579238093,1.724087785812892,-3.522831659740413e-06,1.2481493609742667,0.0,0.0,0.0,267.76859504132176,0.0,0.0,0.0,1626.8615702479337
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458a45'},0.6755857467651367,1237.0,162.0,23.0,23.0,0.0,2.0,1715902841.045694,1823.6860481173328,221.6829721758772,6.307494625036741,206.58736265663984,0.5098511071497018,1.514852133682472,-4.363699262683234e-06,1.0082954566065785,0.0,0.0,0.0,148.67136697955777,0.0,0.0,0.0,366.3960856894248
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458a58'},0.6109941005706787,1230.0,147.0,7.0,7.0,0.0,2.0,1715902830.478646,1814.0268874418532,199.03469512463826,6.7617938392240005,191.36789966987925,0.21001297184790263,1.7710864676218316,-1.2451137355472905e-07,1.5897086997218675,0.0,0.0,0.00037310533671193957,0.0,0.0,0.0,5.674752574892632e-10,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458a62'},0.6845482587814331,1230.0,148.0,11.0,11.0,0.0,2.0,1715902833.333308,1816.5498515946933,200.72037014662544,6.6818346241059325,192.70528653912626,0.4022551482820548,1.1152400446973387,-4.868963891460494e-07,0.9746324069128672,53.43657442869102,0.0,0.0,0.0,96.53947798874316,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458a71'},0.6522184610366821,1240.0,160.0,20.0,20.0,0.0,2.0,1715902838.954955,1821.830147409486,218.99679067682698,6.403140513324722,206.00118579205258,0.4587402376296532,1.7780234693778683,-3.079028429581814e-06,1.3416238493554236,0.0,0.0,0.0,62.53762264383042,0.0,0.0,0.0,14.027692975935196
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458a80'},0.6630000472068787,1238.0,162.0,22.0,22.0,0.0,2.0,1715902840.397184,1822.6375197144946,221.33996077653447,6.336152860842313,206.58686153074152,0.4454600333340358,1.654928732100505,-3.953661458418938e-06,1.1287626818990448,0.0,0.0,0.00045173497937132625,0.0,0.0,0.0,9.237709748273713e-10,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458a82'},0.753538966178894,1214.0,138.0,1.0,1.0,0.0,1.0,1715902826.329251,1812.5,186.5,6.812154769897461,181.0,0.0,0.0,0.0,0.0,9.647234284089844,0.0,0.0,0.0,17.663221652557446,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458a84'},0.7071515321731567,1217.0,140.0,2.0,2.0,0.0,2.0,1715902827.053816,1812.9338842975208,189.10330578512398,6.810802113113047,182.73553719008265,0.10330578512396692,0.6198347107438015,-6.76328054043065e-10,0.41322314049586767,0.0,0.0,9.237709748273713e-10,0.0,0.0,0.0,4.999998675688674e-10,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458a89'},0.6971169710159302,1223.0,144.0,5.0,5.0,0.0,2.0,1715902829.173661,1813.3903890778386,195.2130203250177,6.794678497175134,186.57453705803528,0.14804151961197737,1.691070535603024,-2.8919310674705866e-08,1.1082797404720544,0.0,0.0,0.0,20.84030971530565,0.0,0.0,0.0,8.773775887452182
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458aaa'},0.6810580492019653,1232.0,148.0,8.0,8.0,0.0,2.0,1715902831.031786,1814.756708482853,200.59748933013768,6.740153594327658,192.98648469444976,0.2959678140792716,1.7366435076309226,-2.044362955926258e-07,1.5944836543520227,76.25285965745377,0.0,0.0,0.0,142.03187788442457,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b7e3932c0e6b458ab6'},0.6590238213539124,1229.0,148.0,12.0,12.0,0.0,2.0,1715902833.974713,1817.3176290635772,200.61099848411462,6.664381476222586,192.5591753272658,0.44849329691868656,0.960328087345938,-5.937249841425027e-07,0.8328596420018772,320.7494158414081,0.0,0.0,0.0,45.95835263300148,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458abe'},0.6606763005256653,1231.0,148.0,10.0,10.0,0.0,2.0,1715902832.562108,1816.2352445552212,200.87167094948242,6.700019524129456,192.97067527303682,0.4155089132841293,1.3067608314767791,-3.8712420876718713e-07,1.1621429992259666,15.329109923127923,0.0,0.0,0.0,2.3544960475653074,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458ac6'},0.6691639423370361,1232.0,148.0,9.0,9.0,0.0,2.0,1715902831.716432,1815.3544378327026,201.0968392668345,6.718725382706028,193.51445782484075,0.34091299511805584,1.5523576495882696,-2.9600928694938303e-07,1.4356346862196674,896.3237645263357,0.0,0.0,0.0,118.41116312096165,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458acb'},0.7208505272865295,1220.0,142.0,4.0,4.0,0.0,2.0,1715902828.613837,1813.0238025804238,192.94976258888687,6.803686481886656,184.61795874134475,0.06520342794870392,1.4741865960020175,-1.0498542968111317e-08,0.786737530163127,0.0,118.41116312096187,0.0,0.0,0.0,222.38164362780603,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458ad6'},0.6966583132743835,1230.0,149.0,13.0,13.0,0.0,2.0,1715902834.535654,1817.9217690417047,201.856610776552,6.642732150366527,193.7966385881736,0.4676129825967414,0.9953724859023313,-7.403850059452213e-07,0.8825612736563663,70.48691755422027,0.0,0.0,0.0,7.4816366583547165,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458af5'},0.7170710563659668,1234.0,151.0,14.0,14.0,0.0,2.0,1715902835.160425,1819.1250768303396,204.6060807133704,6.614521319096066,196.21654271496573,0.5553053316755865,1.2044550086027621,-9.504722282640879e-07,1.0658073765574543,0.0,0.0,0.0,7.852057453636817,0.0,0.0,0.0,14.171919352493616
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458afa'},0.6938700675964355,1236.0,153.0,15.0,15.0,0.0,2.0,1715902835.918493,1820.2206818321495,207.5834554839788,6.582662243061433,198.4146408201362,0.6176452975744038,1.4090151140666616,-1.2097687205344622e-06,1.1964514789159582,72.164700247854,0.0,0.0,0.0,136.01600222186752,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458b06'},0.6903623938560486,1238.0,155.0,16.0,16.0,0.0,2.0,1715902836.506578,1821.6024360761564,210.31295523318647,6.549862736407862,199.86690257166367,0.7034062856608485,1.557221816254077,-1.500029965182496e-06,1.2251627534590117,47.658250980332355,0.0,0.0,0.0,9.752396893166633,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458b1e'},0.6756988763809204,1238.0,156.0,17.0,17.0,0.0,2.0,1715902837.16962,1821.7759436617296,212.28433046033123,6.516321991350079,201.0315258220918,0.6450145401483283,1.6028591061132,-1.821309507266403e-06,1.2184916533905459,79.53301021010614,0.0,0.0,0.0,9.347846754623887,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458b32'},0.6035855412483215,1239.0,158.0,18.0,18.0,0.0,2.0,1715902837.787137,1822.144228123831,214.94742109337915,6.480371592722533,202.7430420124025,0.6148688571289258,1.7183557798529032,-2.1925347458673638e-06,1.2721994451697278,17.15052611417343,0.0,0.0,0.0,32.75769087173298,0.0,0.0,0.0
{'$oid': '664699b7e3932c0e6b4589ff'},5,1715902826.329251,1715902871.493052,{'$oid': '664699b8e3932c0e6b458b3c'},0.6625339984893799,1235.0,163.0,25.0,25.0,0.0,2.0,1715902842.602588,1825.8829790648438,223.16177461029298,6.261541407987422,206.24241675503194,0.6265848903186645,1.3608976498785352,-5.079462007598775e-06,0.7739571946221643,0.0,0.0,2.1393743827608646e-08,0.0,0.0,0.0,2.1999918724730676e-09,0.0
